 #  Electrostatic field (a.u.)
 #  Element:  C,  Z =   6  atomic weight = 1.2000000E+01 g/mol
 #  Number of electrons =  0
 #  MNUCL =  4,   MELEC =  4
 #
 #   I       R(I)           RHON(I)         RVN(I)          DEN(I)          RVST(I)
 #------------------------------------------------------------------------------------
     1  0.00000000E+00  1.21983662E+13 -2.77555756E-16  0.00000000E+00 -2.77555756E-16
    64  1.51159554E-07  1.21984109E+13  2.54516574E-02  0.00000000E+00  2.54516574E-02
    65  1.57263196E-07  1.21984146E+13  2.64793573E-02  0.00000000E+00  2.64793573E-02
    66  1.63584636E-07  1.21984186E+13  2.75437281E-02  0.00000000E+00  2.75437281E-02
    67  1.70131453E-07  1.21984228E+13  2.86460455E-02  0.00000000E+00  2.86460455E-02
    68  1.76911471E-07  1.21984274E+13  2.97876268E-02  0.00000000E+00  2.97876268E-02
    69  1.83932773E-07  1.21984324E+13  3.09698329E-02  0.00000000E+00  3.09698329E-02
    70  1.91203706E-07  1.21984377E+13  3.21940690E-02  0.00000000E+00  3.21940690E-02
    71  1.98732888E-07  1.21984435E+13  3.34617857E-02  0.00000000E+00  3.34617857E-02
    72  2.06529216E-07  1.21984497E+13  3.47744811E-02  0.00000000E+00  3.47744811E-02
    73  2.14601874E-07  1.21984563E+13  3.61337012E-02  0.00000000E+00  3.61337012E-02
    74  2.22960342E-07  1.21984635E+13  3.75410417E-02  0.00000000E+00  3.75410417E-02
    75  2.31614400E-07  1.21984712E+13  3.89981491E-02  0.00000000E+00  3.89981491E-02
    76  2.40574141E-07  1.21984794E+13  4.05067224E-02  0.00000000E+00  4.05067224E-02
    77  2.49849977E-07  1.21984883E+13  4.20685141E-02  0.00000000E+00  4.20685141E-02
    78  2.59452644E-07  1.21984979E+13  4.36853317E-02  0.00000000E+00  4.36853317E-02
    79  2.69393217E-07  1.21985082E+13  4.53590392E-02  0.00000000E+00  4.53590392E-02
    80  2.79683113E-07  1.21985192E+13  4.70915585E-02  0.00000000E+00  4.70915585E-02
    81  2.90334103E-07  1.21985311E+13  4.88848706E-02  0.00000000E+00  4.88848706E-02
    82  3.01358317E-07  1.21985439E+13  5.07410173E-02  0.00000000E+00  5.07410173E-02
    83  3.12768255E-07  1.21985576E+13  5.26621026E-02  0.00000000E+00  5.26621026E-02
    84  3.24576797E-07  1.21985723E+13  5.46502939E-02  0.00000000E+00  5.46502939E-02
    85  3.36797207E-07  1.21985881E+13  5.67078236E-02  0.00000000E+00  5.67078236E-02
    86  3.49443146E-07  1.21986051E+13  5.88369909E-02  0.00000000E+00  5.88369909E-02
    87  3.62528678E-07  1.21986233E+13  6.10401624E-02  0.00000000E+00  6.10401624E-02
    88  3.76068280E-07  1.21986428E+13  6.33197742E-02  0.00000000E+00  6.33197742E-02
    89  3.90076849E-07  1.21986638E+13  6.56783332E-02  0.00000000E+00  6.56783332E-02
    90  4.04569713E-07  1.21986864E+13  6.81184183E-02  0.00000000E+00  6.81184183E-02
    91  4.19562636E-07  1.21987105E+13  7.06426818E-02  0.00000000E+00  7.06426818E-02
    92  4.35071827E-07  1.21987364E+13  7.32538511E-02  0.00000000E+00  7.32538511E-02
    93  4.51113952E-07  1.21987642E+13  7.59547295E-02  0.00000000E+00  7.59547295E-02
    94  4.67706134E-07  1.21987940E+13  7.87481979E-02  0.00000000E+00  7.87481979E-02
    95  4.84865970E-07  1.21988260E+13  8.16372158E-02  0.00000000E+00  8.16372158E-02
    96  5.02611529E-07  1.21988602E+13  8.46248227E-02  0.00000000E+00  8.46248227E-02
    97  5.20961366E-07  1.21988969E+13  8.77141392E-02  0.00000000E+00  8.77141392E-02
    98  5.39934526E-07  1.21989363E+13  9.09083680E-02  0.00000000E+00  9.09083680E-02
    99  5.59550552E-07  1.21989784E+13  9.42107950E-02  0.00000000E+00  9.42107950E-02
   100  5.79829486E-07  1.21990235E+13  9.76247905E-02  0.00000000E+00  9.76247905E-02
   101  6.00791883E-07  1.21990719E+13  1.01153810E-01  0.00000000E+00  1.01153810E-01
   102  6.22458809E-07  1.21991237E+13  1.04801393E-01  0.00000000E+00  1.04801393E-01
   103  6.44851848E-07  1.21991791E+13  1.08571170E-01  0.00000000E+00  1.08571170E-01
   104  6.67993108E-07  1.21992384E+13  1.12466855E-01  0.00000000E+00  1.12466855E-01
   105  6.91905222E-07  1.21993019E+13  1.16492250E-01  0.00000000E+00  1.16492250E-01
   106  7.16611352E-07  1.21993698E+13  1.20651247E-01  0.00000000E+00  1.20651247E-01
   107  7.42135193E-07  1.21994425E+13  1.24947826E-01  0.00000000E+00  1.24947826E-01
   108  7.68500969E-07  1.21995202E+13  1.29386055E-01  0.00000000E+00  1.29386055E-01
   109  7.95733441E-07  1.21996033E+13  1.33970092E-01  0.00000000E+00  1.33970092E-01
   110  8.23857901E-07  1.21996922E+13  1.38704181E-01  0.00000000E+00  1.38704181E-01
   111  8.52900175E-07  1.21997872E+13  1.43592659E-01  0.00000000E+00  1.43592659E-01
   112  8.82886619E-07  1.21998887E+13  1.48639945E-01  0.00000000E+00  1.48639945E-01
   113  9.13844116E-07  1.21999971E+13  1.53850551E-01  0.00000000E+00  1.53850551E-01
   114  9.45800076E-07  1.22001129E+13  1.59229072E-01  0.00000000E+00  1.59229072E-01
   115  9.78782424E-07  1.22002366E+13  1.64780189E-01  0.00000000E+00  1.64780189E-01
   116  1.01281960E-06  1.22003686E+13  1.70508670E-01  0.00000000E+00  1.70508670E-01
   117  1.04794055E-06  1.22005095E+13  1.76419361E-01  0.00000000E+00  1.76419361E-01
   118  1.08417473E-06  1.22006598E+13  1.82517194E-01  0.00000000E+00  1.82517194E-01
   119  1.12155205E-06  1.22008202E+13  1.88807180E-01  0.00000000E+00  1.88807180E-01
   120  1.16010294E-06  1.22009913E+13  1.95294404E-01  0.00000000E+00  1.95294404E-01
   121  1.19985826E-06  1.22011737E+13  2.01984031E-01  0.00000000E+00  2.01984031E-01
   122  1.24084935E-06  1.22013681E+13  2.08881295E-01  0.00000000E+00  2.08881295E-01
   123  1.28310797E-06  1.22015752E+13  2.15991501E-01  0.00000000E+00  2.15991501E-01
   124  1.32666629E-06  1.22017958E+13  2.23320021E-01  0.00000000E+00  2.23320021E-01
   125  1.37155691E-06  1.22020308E+13  2.30872292E-01  0.00000000E+00  2.30872292E-01
   126  1.41781280E-06  1.22022810E+13  2.38653808E-01  0.00000000E+00  2.38653808E-01
   127  1.46546729E-06  1.22025472E+13  2.46670120E-01  0.00000000E+00  2.46670120E-01
   128  1.51455405E-06  1.22028304E+13  2.54926831E-01  0.00000000E+00  2.54926831E-01
   129  1.56510707E-06  1.22031316E+13  2.63429593E-01  0.00000000E+00  2.63429593E-01
   130  1.61716064E-06  1.22034519E+13  2.72184097E-01  0.00000000E+00  2.72184097E-01
   131  1.67074930E-06  1.22037922E+13  2.81196075E-01  0.00000000E+00  2.81196075E-01
   132  1.72590784E-06  1.22041538E+13  2.90471290E-01  0.00000000E+00  2.90471290E-01
   133  1.78267126E-06  1.22045378E+13  3.00015532E-01  0.00000000E+00  3.00015532E-01
   134  1.84107470E-06  1.22049455E+13  3.09834611E-01  0.00000000E+00  3.09834611E-01
   135  1.90115351E-06  1.22053782E+13  3.19934354E-01  0.00000000E+00  3.19934354E-01
   136  1.96294308E-06  1.22058371E+13  3.30320593E-01  0.00000000E+00  3.30320593E-01
   137  2.02647893E-06  1.22063237E+13  3.40999166E-01  0.00000000E+00  3.40999166E-01
   138  2.09179660E-06  1.22068395E+13  3.51975903E-01  0.00000000E+00  3.51975903E-01
   139  2.15893162E-06  1.22073859E+13  3.63256623E-01  0.00000000E+00  3.63256623E-01
   140  2.22791951E-06  1.22079646E+13  3.74847123E-01  0.00000000E+00  3.74847123E-01
   141  2.29879568E-06  1.22085771E+13  3.86753177E-01  0.00000000E+00  3.86753177E-01
   142  2.37159546E-06  1.22092252E+13  3.98980521E-01  0.00000000E+00  3.98980521E-01
   143  2.44635401E-06  1.22099106E+13  4.11534848E-01  0.00000000E+00  4.11534848E-01
   144  2.52310627E-06  1.22106350E+13  4.24421801E-01  0.00000000E+00  4.24421801E-01
   145  2.60188698E-06  1.22114004E+13  4.37646964E-01  0.00000000E+00  4.37646964E-01
   146  2.68273056E-06  1.22122086E+13  4.51215851E-01  0.00000000E+00  4.51215851E-01
   147  2.76567113E-06  1.22130617E+13  4.65133901E-01  0.00000000E+00  4.65133901E-01
   148  2.85074241E-06  1.22139615E+13  4.79406467E-01  0.00000000E+00  4.79406467E-01
   149  2.93797774E-06  1.22149102E+13  4.94038810E-01  0.00000000E+00  4.94038810E-01
   150  3.02740998E-06  1.22159099E+13  5.09036087E-01  0.00000000E+00  5.09036087E-01
   151  3.11907150E-06  1.22169627E+13  5.24403342E-01  0.00000000E+00  5.24403342E-01
   152  3.21299411E-06  1.22180708E+13  5.40145501E-01  0.00000000E+00  5.40145501E-01
   153  3.30920907E-06  1.22192365E+13  5.56267361E-01  0.00000000E+00  5.56267361E-01
   154  3.40774697E-06  1.22204618E+13  5.72773579E-01  0.00000000E+00  5.72773579E-01
   155  3.50863776E-06  1.22217493E+13  5.89668666E-01  0.00000000E+00  5.89668666E-01
   156  3.61191068E-06  1.22231010E+13  6.06956980E-01  0.00000000E+00  6.06956980E-01
