 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   6.65830331E-03  3.46978279E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.90490714E-03  3.73156339E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.15151095E-03  4.00286326E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.39811479E-03  4.28368246E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.64471862E-03  4.57402094E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.89132242E-03  4.87387869E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.13792626E-03  5.18325577E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.38453008E-03  5.50215212E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.63113393E-03  5.83056781E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.87773776E-03  6.16850276E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.12434158E-03  6.51595700E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.37094539E-03  6.87293050E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.61754922E-03  7.23942334E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.86415303E-03  7.61543545E-09  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.23301913E-02  1.18991179E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.47962296E-02  1.71347297E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.72622678E-02  2.33222710E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.97283061E-02  3.04617417E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.21943444E-02  3.85531417E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.46603826E-02  4.75964711E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.71264209E-02  5.75917298E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.95924592E-02  6.85389179E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.20584974E-02  8.04380352E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.45245357E-02  9.32890819E-08  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.69905740E-02  1.07092058E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.94566122E-02  1.21846963E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
