 #  Scattering field.
 #  All quantities in atomic units (a.u.), unless otherwise indicated.
 #  Z =   6, NELEC =   0,   projectile: electron
 #  Kinetic energy = 5.59999E+06 a.u. = 1.52383E+08 eV
 #
 #   i       r           r*V         r*Vst        r*Vex       r*Vpol       r*Wabs        rho_e
 #------------------------------------------------------------------------------------------------
    44  6.50847E-08 -1.09587E-02 -1.09587E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    45  6.80970E-08 -1.14659E-02 -1.14659E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    46  7.12181E-08 -1.19915E-02 -1.19915E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    47  7.44519E-08 -1.25360E-02 -1.25360E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    48  7.78025E-08 -1.31001E-02 -1.31001E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    49  8.12739E-08 -1.36846E-02 -1.36846E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    50  8.48705E-08 -1.42902E-02 -1.42902E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    51  8.85967E-08 -1.49176E-02 -1.49176E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    52  9.24572E-08 -1.55676E-02 -1.55676E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    53  9.64566E-08 -1.62410E-02 -1.62410E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    54  1.00600E-07 -1.69387E-02 -1.69387E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    55  1.04892E-07 -1.76614E-02 -1.76614E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    56  1.09339E-07 -1.84101E-02 -1.84101E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    57  1.13945E-07 -1.91857E-02 -1.91857E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    58  1.18717E-07 -1.99891E-02 -1.99891E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    59  1.23660E-07 -2.08214E-02 -2.08214E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    60  1.28780E-07 -2.16835E-02 -2.16835E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    61  1.34083E-07 -2.25764E-02 -2.25764E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    62  1.39577E-07 -2.35014E-02 -2.35014E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    63  1.45266E-07 -2.44594E-02 -2.44594E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    64  1.51160E-07 -2.54517E-02 -2.54517E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    65  1.57263E-07 -2.64794E-02 -2.64794E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    66  1.63585E-07 -2.75437E-02 -2.75437E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    67  1.70131E-07 -2.86460E-02 -2.86460E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    68  1.76911E-07 -2.97876E-02 -2.97876E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    69  1.83933E-07 -3.09698E-02 -3.09698E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    70  1.91204E-07 -3.21941E-02 -3.21941E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    71  1.98733E-07 -3.34618E-02 -3.34618E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    72  2.06529E-07 -3.47745E-02 -3.47745E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    73  2.14602E-07 -3.61337E-02 -3.61337E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    74  2.22960E-07 -3.75410E-02 -3.75410E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    75  2.31614E-07 -3.89981E-02 -3.89981E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    76  2.40574E-07 -4.05067E-02 -4.05067E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    77  2.49850E-07 -4.20685E-02 -4.20685E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    78  2.59453E-07 -4.36853E-02 -4.36853E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    79  2.69393E-07 -4.53590E-02 -4.53590E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    80  2.79683E-07 -4.70916E-02 -4.70916E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    81  2.90334E-07 -4.88849E-02 -4.88849E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    82  3.01358E-07 -5.07410E-02 -5.07410E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    83  3.12768E-07 -5.26621E-02 -5.26621E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    84  3.24577E-07 -5.46503E-02 -5.46503E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    85  3.36797E-07 -5.67078E-02 -5.67078E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    86  3.49443E-07 -5.88370E-02 -5.88370E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    87  3.62529E-07 -6.10402E-02 -6.10402E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    88  3.76068E-07 -6.33198E-02 -6.33198E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    89  3.90077E-07 -6.56783E-02 -6.56783E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    90  4.04570E-07 -6.81184E-02 -6.81184E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    91  4.19563E-07 -7.06427E-02 -7.06427E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    92  4.35072E-07 -7.32539E-02 -7.32539E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    93  4.51114E-07 -7.59547E-02 -7.59547E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    94  4.67706E-07 -7.87482E-02 -7.87482E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    95  4.84866E-07 -8.16372E-02 -8.16372E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    96  5.02612E-07 -8.46248E-02 -8.46248E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    97  5.20961E-07 -8.77141E-02 -8.77141E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    98  5.39935E-07 -9.09084E-02 -9.09084E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    99  5.59551E-07 -9.42108E-02 -9.42108E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   100  5.79829E-07 -9.76248E-02 -9.76248E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   101  6.00792E-07 -1.01154E-01 -1.01154E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   102  6.22459E-07 -1.04801E-01 -1.04801E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   103  6.44852E-07 -1.08571E-01 -1.08571E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
