

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.52383E+08 eV

  ONLY INNER PHASE SHIFTS ARE TABULATED

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.05760052E-02      0.00000000E+00
       1     -3.22673205E-03     -2.04794802E-02
       2     -4.36063878E-04     -3.21067650E-03
       3     -5.04652494E-05     -4.33788222E-04
       4     -5.16745553E-06     -5.01936285E-05
       5     -4.77995272E-07     -5.13902559E-06
       6     -4.01379081E-08     -4.75316792E-07
       7     -3.04500267E-09     -3.99091012E-08
       8     -2.07320996E-10     -3.02736033E-09
       9     -1.26205034E-11     -2.06100242E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  7.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.000E+00 1.37737E-21 -1.043E-05 ( 3.467E-11,-1.324E-11) ( 3.021E-13,-1.156E-13)  1.89E-04
  1.100E+00 9.41089E-22 -8.868E-06 ( 2.875E-11,-1.070E-11) ( 2.754E-13,-1.027E-13)  1.46E-04
  1.200E+00 6.64345E-22  1.964E-05 ( 2.422E-11,-8.808E-12) ( 2.521E-13,-9.141E-14)  8.40E-05
  1.300E+00 4.82388E-22 -2.231E-05 ( 2.069E-11,-7.361E-12) ( 2.346E-13,-8.373E-14)  2.27E-05
  1.400E+00 3.58642E-22  1.877E-05 ( 1.788E-11,-6.231E-12) ( 2.173E-13,-7.552E-14)  2.60E-05
  1.500E+00 2.72131E-22 -1.161E-05 ( 1.561E-11,-5.334E-12) ( 2.039E-13,-6.977E-14)  5.26E-05
  1.600E+00 2.10234E-22  3.448E-06 ( 1.375E-11,-4.611E-12) ( 1.912E-13,-6.412E-14)  5.87E-05
  1.700E+00 1.64944E-22  3.570E-06 ( 1.220E-11,-4.019E-12) ( 1.803E-13,-5.939E-14)  4.91E-05
  1.800E+00 1.31239E-22 -8.083E-06 ( 1.090E-11,-3.531E-12) ( 1.707E-13,-5.537E-14)  3.01E-05
  1.900E+00 1.05708E-22  9.599E-06 ( 9.794E-12,-3.123E-12) ( 1.617E-13,-5.152E-14)  8.28E-06
  2.000E+00 8.60963E-23 -8.420E-06 ( 8.852E-12,-2.778E-12) ( 1.541E-13,-4.841E-14)  1.14E-05
  2.100E+00 7.08301E-23  5.381E-06 ( 8.039E-12,-2.486E-12) ( 1.468E-13,-4.537E-14)  2.31E-05
  2.200E+00 5.87976E-23 -1.594E-06 ( 7.333E-12,-2.235E-12) ( 1.404E-13,-4.278E-14)  2.66E-05
  2.300E+00 4.92185E-23 -1.896E-06 ( 6.717E-12,-2.019E-12) ( 1.344E-13,-4.041E-14)  2.30E-05
  2.400E+00 4.15095E-23  4.280E-06 ( 6.176E-12,-1.831E-12) ( 1.289E-13,-3.821E-14)  1.44E-05
  2.500E+00 3.52535E-23 -5.190E-06 ( 5.697E-12,-1.667E-12) ( 1.239E-13,-3.629E-14)  3.91E-06
  2.600E+00 3.01321E-23  4.634E-06 ( 5.272E-12,-1.523E-12) ( 1.192E-13,-3.443E-14)  6.26E-06
  2.700E+00 2.59069E-23 -3.012E-06 ( 4.893E-12,-1.397E-12) ( 1.149E-13,-3.281E-14)  1.26E-05
  2.800E+00 2.23976E-23  8.656E-07 ( 4.554E-12,-1.284E-12) ( 1.109E-13,-3.127E-14)  1.46E-05
  2.900E+00 1.94616E-23  1.160E-06 ( 4.248E-12,-1.184E-12) ( 1.072E-13,-2.987E-14)  1.28E-05
  3.000E+00 1.69918E-23 -2.619E-06 ( 3.973E-12,-1.095E-12) ( 1.037E-13,-2.858E-14)  8.14E-06
  3.100E+00 1.49010E-23  3.186E-06 ( 3.723E-12,-1.014E-12) ( 1.004E-13,-2.735E-14)  2.13E-06
  3.200E+00 1.31219E-23 -2.892E-06 ( 3.496E-12,-9.423E-13) ( 9.734E-14,-2.624E-14)  3.94E-06
  3.300E+00 1.16006E-23  1.871E-06 ( 3.290E-12,-8.772E-13) ( 9.444E-14,-2.518E-14)  7.74E-06
  3.400E+00 1.02930E-23 -5.385E-07 ( 3.101E-12,-8.182E-13) ( 9.172E-14,-2.420E-14)  9.04E-06
  3.500E+00 9.16472E-24 -8.011E-07 ( 2.928E-12,-7.647E-13) ( 8.915E-14,-2.329E-14)  7.97E-06
  3.600E+00 8.18651E-24  1.732E-06 ( 2.769E-12,-7.160E-13) ( 8.672E-14,-2.242E-14)  5.08E-06
  3.700E+00 7.33539E-24 -2.153E-06 ( 2.622E-12,-6.715E-13) ( 8.443E-14,-2.162E-14)  1.27E-06
  3.800E+00 6.59191E-24  1.925E-06 ( 2.487E-12,-6.308E-13) ( 8.223E-14,-2.085E-14)  2.71E-06
  3.900E+00 5.94012E-24 -1.284E-06 ( 2.362E-12,-5.935E-13) ( 8.017E-14,-2.014E-14)  5.19E-06
  4.000E+00 5.36693E-24  3.249E-07 ( 2.247E-12,-5.592E-13) ( 7.819E-14,-1.946E-14)  6.04E-06
  4.100E+00 4.86105E-24  5.504E-07 ( 2.139E-12,-5.276E-13) ( 7.632E-14,-1.882E-14)  5.34E-06
  4.200E+00 4.41338E-24 -1.261E-06 ( 2.039E-12,-4.985E-13) ( 7.453E-14,-1.822E-14)  3.40E-06
  4.300E+00 4.01596E-24  1.499E-06 ( 1.946E-12,-4.715E-13) ( 7.282E-14,-1.764E-14)  8.00E-07
  4.400E+00 3.66223E-24 -1.407E-06 ( 1.859E-12,-4.466E-13) ( 7.120E-14,-1.710E-14)  1.98E-06
  4.500E+00 3.34655E-24  8.750E-07 ( 1.778E-12,-4.235E-13) ( 6.963E-14,-1.658E-14)  3.70E-06
  4.600E+00 3.06407E-24 -2.613E-07 ( 1.702E-12,-4.019E-13) ( 6.814E-14,-1.609E-14)  4.28E-06
  4.700E+00 2.81075E-24 -4.608E-07 ( 1.631E-12,-3.819E-13) ( 6.671E-14,-1.562E-14)  3.78E-06
  4.800E+00 2.58300E-24  8.909E-07 ( 1.564E-12,-3.633E-13) ( 6.534E-14,-1.517E-14)  2.39E-06
  4.900E+00 2.37783E-24 -1.164E-06 ( 1.501E-12,-3.459E-13) ( 6.402E-14,-1.475E-14)  5.26E-07
  5.000E+00 2.19258E-24  9.918E-07 ( 1.442E-12,-3.296E-13) ( 6.275E-14,-1.434E-14)  1.51E-06
