

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.52383E+08 eV

  ONLY INNER PHASE SHIFTS ARE TABULATED

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.05760052E-02      0.00000000E+00
       1     -3.22673205E-03     -2.04794802E-02
       2     -4.36063878E-04     -3.21067650E-03
       3     -5.04652494E-05     -4.33788222E-04
       4     -5.16745553E-06     -5.01936285E-05
       5     -4.77995272E-07     -5.13902559E-06
       6     -4.01379081E-08     -4.75316792E-07
       7     -3.04500267E-09     -3.99091012E-08
       8     -2.07320996E-10     -3.02736033E-09
       9     -1.26205034E-11     -2.06100242E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  5.100E+00 2.02498E-24 -7.051E-07 ( 1.386E-12,-3.144E-13) ( 6.154E-14,-1.396E-14)  2.75E-06
  5.200E+00 1.87307E-24  1.245E-07 ( 1.334E-12,-3.002E-13) ( 6.037E-14,-1.358E-14)  3.16E-06
  5.300E+00 1.73508E-24  2.952E-07 ( 1.284E-12,-2.868E-13) ( 5.924E-14,-1.323E-14)  2.79E-06
  5.400E+00 1.60956E-24 -7.566E-07 ( 1.237E-12,-2.742E-13) ( 5.815E-14,-1.289E-14)  1.75E-06
  5.500E+00 1.49514E-24  8.225E-07 ( 1.193E-12,-2.624E-13) ( 5.710E-14,-1.256E-14)  3.55E-07
  5.600E+00 1.39068E-24 -8.394E-07 ( 1.151E-12,-2.513E-13) ( 5.609E-14,-1.225E-14)  1.19E-06
  5.700E+00 1.29517E-24  4.568E-07 ( 1.111E-12,-2.408E-13) ( 5.512E-14,-1.195E-14)  2.12E-06
  5.800E+00 1.20768E-24 -1.746E-07 ( 1.073E-12,-2.309E-13) ( 5.417E-14,-1.166E-14)  2.41E-06
  5.900E+00 1.12745E-24 -3.308E-07 ( 1.037E-12,-2.216E-13) ( 5.326E-14,-1.138E-14)  2.12E-06
  6.000E+00 1.05374E-24  5.029E-07 ( 1.003E-12,-2.128E-13) ( 5.238E-14,-1.112E-14)  1.32E-06
  6.100E+00 9.85934E-25 -7.512E-07 ( 9.702E-13,-2.045E-13) ( 5.152E-14,-1.086E-14)  2.44E-07
  6.200E+00 9.23478E-25  5.553E-07 ( 9.392E-13,-1.966E-13) ( 5.070E-14,-1.061E-14)  9.68E-07
  6.300E+00 8.65870E-25 -4.701E-07 ( 9.097E-13,-1.891E-13) ( 4.990E-14,-1.037E-14)  1.68E-06
  6.400E+00 8.12672E-25  1.470E-08 ( 8.815E-13,-1.820E-13) ( 4.912E-14,-1.014E-14)  1.89E-06
  6.500E+00 7.63476E-25  1.483E-07 ( 8.546E-13,-1.753E-13) ( 4.836E-14,-9.920E-15)  1.66E-06
  6.600E+00 7.17935E-25 -5.378E-07 ( 8.289E-13,-1.689E-13) ( 4.763E-14,-9.706E-15)  1.02E-06
  6.700E+00 6.75724E-25  4.721E-07 ( 8.043E-13,-1.628E-13) ( 4.692E-14,-9.498E-15)  1.69E-07
  6.800E+00 6.36556E-25 -5.887E-07 ( 7.808E-13,-1.570E-13) ( 4.623E-14,-9.299E-15)  8.03E-07
  6.900E+00 6.00173E-25  2.291E-07 ( 7.583E-13,-1.515E-13) ( 4.556E-14,-9.105E-15)  1.36E-06
  7.000E+00 5.66339E-25 -1.603E-07 ( 7.368E-13,-1.463E-13) ( 4.491E-14,-8.918E-15)  1.52E-06
  7.100E+00 5.34846E-25 -2.873E-07 ( 7.161E-13,-1.413E-13) ( 4.428E-14,-8.737E-15)  1.32E-06
  7.200E+00 5.05500E-25  2.774E-07 ( 6.963E-13,-1.365E-13) ( 4.366E-14,-8.562E-15)  8.08E-07
  7.300E+00 4.78129E-25 -5.637E-07 ( 6.773E-13,-1.320E-13) ( 4.306E-14,-8.392E-15)  1.16E-07
  7.400E+00 4.52576E-25  3.012E-07 ( 6.591E-13,-1.277E-13) ( 4.248E-14,-8.227E-15)  6.78E-07
  7.500E+00 4.28698E-25 -3.732E-07 ( 6.416E-13,-1.235E-13) ( 4.191E-14,-8.068E-15)  1.12E-06
  7.600E+00 4.06366E-25 -6.912E-08 ( 6.247E-13,-1.195E-13) ( 4.136E-14,-7.914E-15)  1.24E-06
  7.700E+00 3.85459E-25  3.920E-08 ( 6.086E-13,-1.158E-13) ( 4.082E-14,-7.764E-15)  1.07E-06
  7.800E+00 3.65873E-25 -4.446E-07 ( 5.930E-13,-1.121E-13) ( 4.029E-14,-7.618E-15)  6.49E-07
  7.900E+00 3.47507E-25  2.506E-07 ( 5.780E-13,-1.086E-13) ( 3.978E-14,-7.477E-15)  1.00E-07
  8.000E+00 3.30272E-25 -4.774E-07 ( 5.635E-13,-1.053E-13) ( 3.928E-14,-7.340E-15)  5.81E-07
  8.100E+00 3.14086E-25  7.486E-08 ( 5.496E-13,-1.021E-13) ( 3.879E-14,-7.207E-15)  9.38E-07
  8.200E+00 2.98872E-25 -1.833E-07 ( 5.362E-13,-9.906E-14) ( 3.831E-14,-7.077E-15)  1.03E-06
  8.300E+00 2.84562E-25 -2.896E-07 ( 5.233E-13,-9.612E-14) ( 3.784E-14,-6.951E-15)  8.86E-07
  8.400E+00 2.71092E-25  1.171E-07 ( 5.108E-13,-9.330E-14) ( 3.739E-14,-6.829E-15)  5.28E-07
  8.500E+00 2.58404E-25 -4.834E-07 ( 4.988E-13,-9.059E-14) ( 3.694E-14,-6.710E-15)  1.00E-07
  8.600E+00 2.46445E-25  1.242E-07 ( 4.872E-13,-8.799E-14) ( 3.651E-14,-6.594E-15)  5.04E-07
  8.700E+00 2.35163E-25 -3.483E-07 ( 4.759E-13,-8.548E-14) ( 3.608E-14,-6.481E-15)  7.97E-07
  8.800E+00 2.24516E-25 -1.467E-07 ( 4.651E-13,-8.308E-14) ( 3.567E-14,-6.371E-15)  8.62E-07
  8.900E+00 2.14459E-25 -5.782E-08 ( 4.546E-13,-8.076E-14) ( 3.526E-14,-6.264E-15)  7.40E-07
  9.000E+00 2.04954E-25 -4.181E-07 ( 4.444E-13,-7.853E-14) ( 3.486E-14,-6.160E-15)  4.35E-07
  9.100E+00 1.95966E-25  8.629E-08 ( 4.346E-13,-7.638E-14) ( 3.447E-14,-6.058E-15)  1.00E-07
  9.200E+00 1.87461E-25 -4.421E-07 ( 4.251E-13,-7.432E-14) ( 3.409E-14,-5.959E-15)  4.43E-07
  9.300E+00 1.79408E-25 -4.985E-08 ( 4.159E-13,-7.232E-14) ( 3.372E-14,-5.863E-15)  6.84E-07
  9.400E+00 1.71779E-25 -2.297E-07 ( 4.070E-13,-7.040E-14) ( 3.335E-14,-5.769E-15)  7.32E-07
  9.500E+00 1.64548E-25 -3.208E-07 ( 3.984E-13,-6.855E-14) ( 3.299E-14,-5.677E-15)  6.25E-07
  9.600E+00 1.57689E-25 -1.569E-08 ( 3.900E-13,-6.676E-14) ( 3.264E-14,-5.587E-15)  3.62E-07
  9.700E+00 1.51181E-25 -4.655E-07 ( 3.819E-13,-6.504E-14) ( 3.230E-14,-5.500E-15)  1.00E-07
  9.800E+00 1.45002E-25 -1.855E-08 ( 3.741E-13,-6.337E-14) ( 3.196E-14,-5.415E-15)  3.92E-07
  9.900E+00 1.39132E-25 -3.664E-07 ( 3.665E-13,-6.176E-14) ( 3.163E-14,-5.331E-15)  5.93E-07
  1.000E+01 1.33553E-25 -2.272E-07 ( 3.591E-13,-6.021E-14) ( 3.131E-14,-5.250E-15)  6.28E-07
  1.025E+01 1.20770E-25 -1.903E-07 ( 3.415E-13,-5.655E-14) ( 3.052E-14,-5.054E-15)  5.89E-07
  1.050E+01 1.09465E-25 -1.635E-07 ( 3.252E-13,-5.318E-14) ( 2.978E-14,-4.870E-15)  5.19E-07
  1.075E+01 9.94376E-26 -1.494E-07 ( 3.099E-13,-5.007E-14) ( 2.906E-14,-4.695E-15)  4.25E-07
  1.100E+01 9.05201E-26 -1.471E-07 ( 2.957E-13,-4.721E-14) ( 2.838E-14,-4.530E-15)  3.15E-07
  1.125E+01 8.25684E-26 -1.588E-07 ( 2.825E-13,-4.455E-14) ( 2.773E-14,-4.373E-15)  1.97E-07
  1.150E+01 7.54602E-26 -1.809E-07 ( 2.701E-13,-4.210E-14) ( 2.710E-14,-4.225E-15)  1.00E-07
  1.175E+01 6.90908E-26 -2.153E-07 ( 2.584E-13,-3.982E-14) ( 2.650E-14,-4.084E-15)  1.00E-07
  1.200E+01 6.33704E-26 -2.574E-07 ( 2.475E-13,-3.770E-14) ( 2.593E-14,-3.949E-15)  1.88E-07
  1.225E+01 5.82216E-26 -3.049E-07 ( 2.372E-13,-3.573E-14) ( 2.537E-14,-3.821E-15)  2.58E-07
  1.250E+01 5.35776E-26 -3.572E-07 ( 2.276E-13,-3.389E-14) ( 2.484E-14,-3.700E-15)  3.05E-07
  1.275E+01 4.93804E-26 -4.132E-07 ( 2.185E-13,-3.218E-14) ( 2.433E-14,-3.583E-15)  3.28E-07
  1.300E+01 4.55796E-26 -4.672E-07 ( 2.099E-13,-3.058E-14) ( 2.384E-14,-3.473E-15)  3.28E-07
  1.325E+01 4.21315E-26 -5.185E-07 ( 2.018E-13,-2.908E-14) ( 2.336E-14,-3.367E-15)  3.19E-07
  1.350E+01 3.89977E-26 -5.679E-07 ( 1.942E-13,-2.768E-14) ( 2.290E-14,-3.265E-15)  2.94E-07
  1.375E+01 3.61447E-26 -6.100E-07 ( 1.869E-13,-2.637E-14) ( 2.246E-14,-3.168E-15)  2.54E-07
  1.400E+01 3.35430E-26 -6.459E-07 ( 1.800E-13,-2.513E-14) ( 2.203E-14,-3.076E-15)  2.01E-07
  1.425E+01 3.11667E-26 -6.752E-07 ( 1.735E-13,-2.397E-14) ( 2.162E-14,-2.987E-15)  1.41E-07
  1.450E+01 2.89929E-26 -7.010E-07 ( 1.674E-13,-2.288E-14) ( 2.122E-14,-2.901E-15)  1.00E-07
  1.475E+01 2.70014E-26 -7.193E-07 ( 1.615E-13,-2.186E-14) ( 2.083E-14,-2.819E-15)  1.00E-07
  1.500E+01 2.51743E-26 -7.306E-07 ( 1.559E-13,-2.089E-14) ( 2.046E-14,-2.741E-15)  1.00E-07
  1.525E+01 2.34958E-26 -7.406E-07 ( 1.506E-13,-1.998E-14) ( 2.010E-14,-2.665E-15)  1.37E-07
  1.550E+01 2.19516E-26 -7.485E-07 ( 1.456E-13,-1.912E-14) ( 1.974E-14,-2.593E-15)  1.71E-07
  1.575E+01 2.05292E-26 -7.523E-07 ( 1.408E-13,-1.830E-14) ( 1.940E-14,-2.523E-15)  1.90E-07
  1.600E+01 1.92173E-26 -7.562E-07 ( 1.362E-13,-1.753E-14) ( 1.907E-14,-2.456E-15)  1.97E-07
  1.625E+01 1.80059E-26 -7.642E-07 ( 1.318E-13,-1.680E-14) ( 1.875E-14,-2.391E-15)  1.94E-07
  1.650E+01 1.68860E-26 -7.765E-07 ( 1.276E-13,-1.611E-14) ( 1.844E-14,-2.329E-15)  1.87E-07
  1.675E+01 1.58495E-26 -7.901E-07 ( 1.236E-13,-1.546E-14) ( 1.813E-14,-2.268E-15)  1.68E-07
  1.700E+01 1.48891E-26 -8.070E-07 ( 1.198E-13,-1.484E-14) ( 1.784E-14,-2.210E-15)  1.41E-07
  1.725E+01 1.39982E-26 -8.296E-07 ( 1.161E-13,-1.425E-14) ( 1.755E-14,-2.154E-15)  1.07E-07
  1.750E+01 1.31711E-26 -8.549E-07 ( 1.126E-13,-1.369E-14) ( 1.727E-14,-2.100E-15)  1.00E-07
  1.775E+01 1.24023E-26 -8.871E-07 ( 1.093E-13,-1.316E-14) ( 1.700E-14,-2.048E-15)  1.00E-07
  1.800E+01 1.16871E-26 -9.217E-07 ( 1.060E-13,-1.266E-14) ( 1.674E-14,-1.998E-15)  1.00E-07
  1.825E+01 1.10210E-26 -9.609E-07 ( 1.029E-13,-1.217E-14) ( 1.648E-14,-1.949E-15)  1.00E-07
  1.850E+01 1.04002E-26 -1.003E-06 ( 9.998E-14,-1.172E-14) ( 1.623E-14,-1.902E-15)  1.04E-07
  1.875E+01 9.82107E-27 -1.048E-06 ( 9.713E-14,-1.128E-14) ( 1.598E-14,-1.856E-15)  1.20E-07
  1.900E+01 9.28027E-27 -1.093E-06 ( 9.440E-14,-1.086E-14) ( 1.574E-14,-1.812E-15)  1.28E-07
  1.925E+01 8.77489E-27 -1.138E-06 ( 9.177E-14,-1.047E-14) ( 1.551E-14,-1.769E-15)  1.27E-07
  1.950E+01 8.30220E-27 -1.183E-06 ( 8.924E-14,-1.009E-14) ( 1.528E-14,-1.728E-15)  1.26E-07
  1.975E+01 7.85975E-27 -1.224E-06 ( 8.681E-14,-9.727E-15) ( 1.506E-14,-1.687E-15)  1.19E-07
  2.000E+01 7.44526E-27 -1.263E-06 ( 8.446E-14,-9.381E-15) ( 1.484E-14,-1.649E-15)  1.04E-07
  2.025E+01 7.05669E-27 -1.300E-06 ( 8.221E-14,-9.051E-15) ( 1.463E-14,-1.611E-15)  1.00E-07
  2.050E+01 6.69214E-27 -1.334E-06 ( 8.003E-14,-8.735E-15) ( 1.442E-14,-1.574E-15)  1.00E-07
  2.075E+01 6.34988E-27 -1.365E-06 ( 7.794E-14,-8.432E-15) ( 1.422E-14,-1.539E-15)  1.00E-07
  2.100E+01 6.02831E-27 -1.390E-06 ( 7.592E-14,-8.143E-15) ( 1.402E-14,-1.504E-15)  1.00E-07
  2.125E+01 5.72599E-27 -1.421E-06 ( 7.396E-14,-7.866E-15) ( 1.383E-14,-1.471E-15)  1.00E-07
  2.150E+01 5.44157E-27 -1.449E-06 ( 7.208E-14,-7.600E-15) ( 1.364E-14,-1.438E-15)  1.00E-07
  2.175E+01 5.17381E-27 -1.470E-06 ( 7.026E-14,-7.346E-15) ( 1.345E-14,-1.406E-15)  1.00E-07
  2.200E+01 4.92158E-27 -1.494E-06 ( 6.851E-14,-7.101E-15) ( 1.327E-14,-1.376E-15)  1.00E-07
  2.225E+01 4.68383E-27 -1.517E-06 ( 6.681E-14,-6.867E-15) ( 1.309E-14,-1.346E-15)  1.00E-07
  2.250E+01 4.45960E-27 -1.543E-06 ( 6.517E-14,-6.642E-15) ( 1.292E-14,-1.317E-15)  1.00E-07
  2.275E+01 4.24798E-27 -1.570E-06 ( 6.358E-14,-6.427E-15) ( 1.275E-14,-1.288E-15)  1.00E-07
  2.300E+01 4.04816E-27 -1.596E-06 ( 6.205E-14,-6.219E-15) ( 1.258E-14,-1.261E-15)  1.00E-07
  2.325E+01 3.85937E-27 -1.623E-06 ( 6.056E-14,-6.020E-15) ( 1.242E-14,-1.234E-15)  1.00E-07
  2.350E+01 3.68091E-27 -1.655E-06 ( 5.912E-14,-5.828E-15) ( 1.225E-14,-1.208E-15)  1.00E-07
  2.375E+01 3.51211E-27 -1.692E-06 ( 5.773E-14,-5.644E-15) ( 1.210E-14,-1.183E-15)  1.00E-07
  2.400E+01 3.35237E-27 -1.731E-06 ( 5.638E-14,-5.467E-15) ( 1.194E-14,-1.158E-15)  1.00E-07
  2.425E+01 3.20112E-27 -1.773E-06 ( 5.507E-14,-5.297E-15) ( 1.179E-14,-1.134E-15)  1.00E-07
  2.450E+01 3.05785E-27 -1.812E-06 ( 5.380E-14,-5.132E-15) ( 1.164E-14,-1.111E-15)  1.00E-07
  2.475E+01 2.92206E-27 -1.854E-06 ( 5.257E-14,-4.974E-15) ( 1.150E-14,-1.088E-15)  1.00E-07
  2.500E+01 2.79331E-27 -1.894E-06 ( 5.138E-14,-4.822E-15) ( 1.135E-14,-1.065E-15)  1.00E-07
  2.550E+01 2.55523E-27 -1.981E-06 ( 4.910E-14,-4.534E-15) ( 1.107E-14,-1.022E-15)  1.00E-07
  2.600E+01 2.34058E-27 -2.066E-06 ( 4.695E-14,-4.267E-15) ( 1.080E-14,-9.816E-16)  1.00E-07
  2.650E+01 2.14672E-27 -2.144E-06 ( 4.493E-14,-4.018E-15) ( 1.054E-14,-9.427E-16)  1.00E-07
  2.700E+01 1.97133E-27 -2.211E-06 ( 4.301E-14,-3.785E-15) ( 1.029E-14,-9.057E-16)  1.00E-07
  2.750E+01 1.81241E-27 -2.283E-06 ( 4.121E-14,-3.569E-15) ( 1.005E-14,-8.703E-16)  1.00E-07
  2.800E+01 1.66817E-27 -2.343E-06 ( 3.949E-14,-3.367E-15) ( 9.813E-15,-8.366E-16)  1.00E-07
  2.850E+01 1.53708E-27 -2.399E-06 ( 3.787E-14,-3.178E-15) ( 9.585E-15,-8.043E-16)  1.00E-07
  2.900E+01 1.41776E-27 -2.461E-06 ( 3.634E-14,-3.001E-15) ( 9.365E-15,-7.735E-16)  1.00E-07
  2.950E+01 1.30900E-27 -2.533E-06 ( 3.488E-14,-2.836E-15) ( 9.151E-15,-7.441E-16)  1.00E-07
  3.000E+01 1.20975E-27 -2.598E-06 ( 3.350E-14,-2.681E-15) ( 8.944E-15,-7.159E-16)  1.00E-07
  3.050E+01 1.11905E-27 -2.683E-06 ( 3.218E-14,-2.536E-15) ( 8.743E-15,-6.889E-16)  1.00E-07
  3.100E+01 1.03606E-27 -2.759E-06 ( 3.093E-14,-2.399E-15) ( 8.548E-15,-6.630E-16)  1.00E-07
  3.150E+01 9.60046E-28 -2.843E-06 ( 2.974E-14,-2.271E-15) ( 8.358E-15,-6.383E-16)  1.00E-07
  3.200E+01 8.90335E-28 -2.910E-06 ( 2.861E-14,-2.151E-15) ( 8.174E-15,-6.145E-16)  1.00E-07
  3.250E+01 8.26337E-28 -2.988E-06 ( 2.753E-14,-2.037E-15) ( 7.996E-15,-5.917E-16)  1.00E-07
  3.300E+01 7.67521E-28 -3.058E-06 ( 2.650E-14,-1.930E-15) ( 7.822E-15,-5.698E-16)  1.00E-07
  3.350E+01 7.13411E-28 -3.122E-06 ( 2.552E-14,-1.830E-15) ( 7.653E-15,-5.488E-16)  1.00E-07
  3.400E+01 6.63584E-28 -3.174E-06 ( 2.458E-14,-1.735E-15) ( 7.488E-15,-5.286E-16)  1.00E-07
  3.450E+01 6.17655E-28 -3.227E-06 ( 2.369E-14,-1.646E-15) ( 7.328E-15,-5.092E-16)  1.00E-07
  3.500E+01 5.75281E-28 -3.279E-06 ( 2.283E-14,-1.561E-15) ( 7.172E-15,-4.905E-16)  1.00E-07
  3.550E+01 5.36152E-28 -3.338E-06 ( 2.201E-14,-1.482E-15) ( 7.020E-15,-4.726E-16)  1.00E-07
  3.600E+01 4.99989E-28 -3.400E-06 ( 2.123E-14,-1.406E-15) ( 6.872E-15,-4.553E-16)  1.00E-07
  3.650E+01 4.66539E-28 -3.450E-06 ( 2.048E-14,-1.335E-15) ( 6.728E-15,-4.387E-16)  1.00E-07
  3.700E+01 4.35574E-28 -3.523E-06 ( 1.976E-14,-1.268E-15) ( 6.587E-15,-4.227E-16)  1.00E-07
  3.750E+01 4.06886E-28 -3.572E-06 ( 1.907E-14,-1.204E-15) ( 6.450E-15,-4.073E-16)  1.00E-07
  3.800E+01 3.80290E-28 -3.643E-06 ( 1.841E-14,-1.144E-15) ( 6.316E-15,-3.924E-16)  1.00E-07
  3.850E+01 3.55613E-28 -3.707E-06 ( 1.778E-14,-1.087E-15) ( 6.185E-15,-3.781E-16)  1.00E-07
  3.900E+01 3.32702E-28 -3.751E-06 ( 1.717E-14,-1.033E-15) ( 6.058E-15,-3.643E-16)  1.00E-07
  3.950E+01 3.11416E-28 -3.800E-06 ( 1.659E-14,-9.812E-16) ( 5.933E-15,-3.510E-16)  1.00E-07
  4.000E+01 2.91626E-28 -3.826E-06 ( 1.603E-14,-9.325E-16) ( 5.812E-15,-3.382E-16)  1.00E-07
  4.050E+01 2.73215E-28 -3.861E-06 ( 1.549E-14,-8.863E-16) ( 5.693E-15,-3.258E-16)  1.00E-07
  4.100E+01 2.56077E-28 -3.887E-06 ( 1.497E-14,-8.424E-16) ( 5.577E-15,-3.138E-16)  1.00E-07
  4.150E+01 2.40115E-28 -3.922E-06 ( 1.448E-14,-8.008E-16) ( 5.464E-15,-3.023E-16)  1.00E-07
  4.200E+01 2.25238E-28 -3.961E-06 ( 1.400E-14,-7.613E-16) ( 5.353E-15,-2.912E-16)  1.00E-07
  4.250E+01 2.11366E-28 -3.977E-06 ( 1.354E-14,-7.237E-16) ( 5.244E-15,-2.804E-16)  1.00E-07
  4.300E+01 1.98423E-28 -4.028E-06 ( 1.309E-14,-6.880E-16) ( 5.139E-15,-2.700E-16)  1.00E-07
  4.350E+01 1.86341E-28 -4.064E-06 ( 1.267E-14,-6.540E-16) ( 5.035E-15,-2.600E-16)  1.00E-07
  4.400E+01 1.75057E-28 -4.094E-06 ( 1.226E-14,-6.218E-16) ( 4.934E-15,-2.503E-16)  1.00E-07
  4.450E+01 1.64512E-28 -4.107E-06 ( 1.186E-14,-5.911E-16) ( 4.835E-15,-2.409E-16)  1.00E-07
  4.500E+01 1.54654E-28 -4.128E-06 ( 1.148E-14,-5.618E-16) ( 4.738E-15,-2.319E-16)  1.00E-07
  4.550E+01 1.45434E-28 -4.131E-06 ( 1.111E-14,-5.340E-16) ( 4.643E-15,-2.231E-16)  1.00E-07
  4.600E+01 1.36806E-28 -4.152E-06 ( 1.076E-14,-5.076E-16) ( 4.550E-15,-2.146E-16)  1.00E-07
  4.650E+01 1.28729E-28 -4.158E-06 ( 1.042E-14,-4.824E-16) ( 4.459E-15,-2.065E-16)  1.00E-07
  4.700E+01 1.21164E-28 -4.122E-06 ( 1.009E-14,-4.583E-16) ( 4.370E-15,-1.985E-16)  1.00E-07
  4.750E+01 1.14076E-28 -4.117E-06 ( 9.773E-15,-4.355E-16) ( 4.283E-15,-1.909E-16)  1.00E-07
  4.800E+01 1.07432E-28 -4.121E-06 ( 9.466E-15,-4.137E-16) ( 4.198E-15,-1.835E-16)  1.00E-07
  4.850E+01 1.01202E-28 -4.097E-06 ( 9.170E-15,-3.929E-16) ( 4.114E-15,-1.763E-16)  1.00E-07
  4.900E+01 9.53586E-29 -4.081E-06 ( 8.884E-15,-3.732E-16) ( 4.033E-15,-1.694E-16)  1.00E-07
  4.950E+01 8.98746E-29 -4.078E-06 ( 8.608E-15,-3.543E-16) ( 3.953E-15,-1.627E-16)  1.00E-07
  5.000E+01 8.47267E-29 -4.036E-06 ( 8.341E-15,-3.363E-16) ( 3.874E-15,-1.562E-16)  1.00E-07
  5.050E+01 7.98924E-29 -4.019E-06 ( 8.084E-15,-3.192E-16) ( 3.797E-15,-1.499E-16)  1.00E-07
  5.100E+01 7.53512E-29 -3.977E-06 ( 7.835E-15,-3.028E-16) ( 3.722E-15,-1.439E-16)  1.00E-07
  5.150E+01 7.10839E-29 -3.950E-06 ( 7.594E-15,-2.872E-16) ( 3.648E-15,-1.380E-16)  1.00E-07
  5.200E+01 6.70727E-29 -3.875E-06 ( 7.362E-15,-2.724E-16) ( 3.576E-15,-1.323E-16)  1.00E-07
  5.250E+01 6.33010E-29 -3.831E-06 ( 7.137E-15,-2.582E-16) ( 3.505E-15,-1.268E-16)  1.00E-07
  5.300E+01 5.97535E-29 -3.766E-06 ( 6.919E-15,-2.447E-16) ( 3.436E-15,-1.215E-16)  1.00E-07
  5.350E+01 5.64158E-29 -3.674E-06 ( 6.709E-15,-2.317E-16) ( 3.368E-15,-1.163E-16)  1.00E-07
  5.400E+01 5.32748E-29 -3.614E-06 ( 6.505E-15,-2.194E-16) ( 3.301E-15,-1.114E-16)  1.00E-07
  5.450E+01 5.03179E-29 -3.534E-06 ( 6.308E-15,-2.077E-16) ( 3.236E-15,-1.065E-16)  1.00E-07
  5.500E+01 4.75337E-29 -3.443E-06 ( 6.118E-15,-1.965E-16) ( 3.171E-15,-1.019E-16)  1.00E-07
  5.550E+01 4.49113E-29 -3.349E-06 ( 5.933E-15,-1.858E-16) ( 3.109E-15,-9.734E-17)  1.00E-07
  5.600E+01 4.24407E-29 -3.273E-06 ( 5.755E-15,-1.756E-16) ( 3.047E-15,-9.297E-17)  1.00E-07
  5.650E+01 4.01127E-29 -3.178E-06 ( 5.582E-15,-1.658E-16) ( 2.987E-15,-8.873E-17)  1.00E-07
  5.700E+01 3.79183E-29 -3.076E-06 ( 5.415E-15,-1.565E-16) ( 2.927E-15,-8.463E-17)  1.00E-07
  5.750E+01 3.58496E-29 -2.950E-06 ( 5.252E-15,-1.476E-16) ( 2.869E-15,-8.067E-17)  1.00E-07
  5.800E+01 3.38987E-29 -2.836E-06 ( 5.095E-15,-1.392E-16) ( 2.812E-15,-7.683E-17)  1.00E-07
  5.850E+01 3.20587E-29 -2.671E-06 ( 4.943E-15,-1.311E-16) ( 2.757E-15,-7.312E-17)  1.00E-07
  5.900E+01 3.03228E-29 -2.488E-06 ( 4.796E-15,-1.234E-16) ( 2.702E-15,-6.953E-17)  1.00E-07
  5.950E+01 2.86849E-29 -2.382E-06 ( 4.653E-15,-1.161E-16) ( 2.648E-15,-6.605E-17)  1.00E-07
  6.000E+01 2.71390E-29 -2.153E-06 ( 4.515E-15,-1.090E-16) ( 2.595E-15,-6.269E-17)  1.00E-07
  6.050E+01 2.56798E-29 -2.003E-06 ( 4.381E-15,-1.024E-16) ( 2.544E-15,-5.943E-17)  1.00E-07
  6.100E+01 2.43020E-29 -1.823E-06 ( 4.251E-15,-9.597E-17) ( 2.493E-15,-5.629E-17)  1.00E-07
  6.150E+01 2.30010E-29 -1.620E-06 ( 4.125E-15,-8.989E-17) ( 2.444E-15,-5.324E-17)  1.00E-07
  6.200E+01 2.17722E-29 -1.505E-06 ( 4.003E-15,-8.408E-17) ( 2.395E-15,-5.030E-17)  1.00E-07
  6.250E+01 2.06114E-29 -1.256E-06 ( 3.885E-15,-7.855E-17) ( 2.347E-15,-4.746E-17)  1.00E-07
  6.300E+01 1.95146E-29 -1.061E-06 ( 3.770E-15,-7.327E-17) ( 2.300E-15,-4.470E-17)  1.00E-07
  6.350E+01 1.84782E-29 -8.090E-07 ( 3.659E-15,-6.824E-17) ( 2.254E-15,-4.204E-17)  1.00E-07
  6.400E+01 1.74987E-29 -5.851E-07 ( 3.551E-15,-6.345E-17) ( 2.209E-15,-3.947E-17)  1.00E-07
  6.450E+01 1.65727E-29 -3.193E-07 ( 3.447E-15,-5.888E-17) ( 2.165E-15,-3.698E-17)  1.00E-07
  6.500E+01 1.56973E-29 -9.017E-08 ( 3.345E-15,-5.453E-17) ( 2.122E-15,-3.458E-17)  1.00E-07
  6.550E+01 1.48696E-29  2.370E-07 ( 3.247E-15,-5.039E-17) ( 2.079E-15,-3.226E-17)  1.00E-07
  6.600E+01 1.40869E-29  5.066E-07 ( 3.152E-15,-4.644E-17) ( 2.037E-15,-3.002E-17)  1.00E-07
  6.650E+01 1.33465E-29  8.052E-07 ( 3.059E-15,-4.268E-17) ( 1.996E-15,-2.785E-17)  1.00E-07
  6.700E+01 1.26461E-29  1.161E-06 ( 2.969E-15,-3.911E-17) ( 1.956E-15,-2.576E-17)  1.00E-07
  6.750E+01 1.19836E-29  1.456E-06 ( 2.882E-15,-3.570E-17) ( 1.917E-15,-2.374E-17)  1.00E-07
  6.800E+01 1.13566E-29  1.784E-06 ( 2.798E-15,-3.247E-17) ( 1.878E-15,-2.179E-17)  1.00E-07
  6.850E+01 1.07634E-29  2.104E-06 ( 2.716E-15,-2.939E-17) ( 1.840E-15,-1.991E-17)  1.00E-07
  6.900E+01 1.02019E-29  2.446E-06 ( 2.636E-15,-2.646E-17) ( 1.803E-15,-1.809E-17)  1.00E-07
