    Radial grid:  A*(R(I)+R0)+B*LOG(R(I)+R0)+C=I

    R0= 1.78012201018E-08  RN= 3.77945225092E-04
     C= 4.98000000000E+02   N=  996

     A= 1.89832748621E+06   B= 2.78525012550E+01  C= 4.98000000000E+02

    I        R(I)         DIFR(I)
   ----------------------------------
   146  2.6827306E-06  8.1886418E-08
   147  2.7656711E-06  8.4000335E-08
   148  2.8507424E-06  8.6147790E-08
   149  2.9379777E-06  8.8328347E-08
   150  3.0274100E-06  9.0541527E-08
   151  3.1190715E-06  9.2786810E-08
   152  3.2129941E-06  9.5063630E-08
   153  3.3092091E-06  9.7371380E-08
   154  3.4077470E-06  9.9709414E-08
   155  3.5086378E-06  1.0207704E-07
   156  3.6119107E-06  1.0447354E-07
   157  3.7175942E-06  1.0689813E-07
   158  3.8257160E-06  1.0935002E-07
   159  3.9363031E-06  1.1182837E-07
   160  4.0493813E-06  1.1433230E-07
   161  4.1649759E-06  1.1686091E-07
   162  4.2831110E-06  1.1941326E-07
   163  4.4038100E-06  1.2198838E-07
   164  4.5270951E-06  1.2458528E-07
   165  4.6529875E-06  1.2720294E-07
   166  4.7815075E-06  1.2984032E-07
   167  4.9126744E-06  1.3249636E-07
   168  5.0465061E-06  1.3516997E-07
   169  5.1830198E-06  1.3786007E-07
   170  5.3222314E-06  1.4056553E-07
   171  5.4641556E-06  1.4328523E-07
   172  5.6088062E-06  1.4601804E-07
   173  5.7561957E-06  1.4876283E-07
   174  5.9063355E-06  1.5151844E-07
   175  6.0592358E-06  1.5428374E-07
   176  6.2149058E-06  1.5705756E-07
   177  6.3733534E-06  1.5983878E-07
   178  6.5345854E-06  1.6262625E-07
   179  6.6986076E-06  1.6541883E-07
   180  6.8654244E-06  1.6821540E-07
   181  7.0350393E-06  1.7101484E-07
   182  7.2074547E-06  1.7381606E-07
   183  7.3826717E-06  1.7661796E-07
   184  7.5606905E-06  1.7941947E-07
   185  7.7415101E-06  1.8221953E-07
   186  7.9251287E-06  1.8501712E-07
   187  8.1115432E-06  1.8781121E-07
   188  8.3007496E-06  1.9060082E-07
   189  8.4927430E-06  1.9338497E-07
   190  8.6875174E-06  1.9616273E-07
   191  8.8850660E-06  1.9893316E-07
   192  9.0853810E-06  2.0169537E-07
   193  9.2884538E-06  2.0444851E-07
   194  9.4942747E-06  2.0719172E-07
   195  9.7028336E-06  2.0992421E-07
   196  9.9141193E-06  2.1264518E-07
   197  1.0128120E-05  2.1535389E-07
   198  1.0344823E-05  2.1804962E-07
   199  1.0564215E-05  2.2073167E-07
   200  1.0786281E-05  2.2339937E-07
   201  1.1011008E-05  2.2605211E-07
   202  1.1238380E-05  2.2868926E-07
   203  1.1468381E-05  2.3131027E-07
   204  1.1700995E-05  2.3391458E-07
   205  1.1936205E-05  2.3650169E-07
   206  1.2173993E-05  2.3907110E-07
   207  1.2414341E-05  2.4162237E-07
   208  1.2657231E-05  2.4415506E-07
   209  1.2902645E-05  2.4666877E-07
   210  1.3150562E-05  2.4916314E-07
   211  1.3400965E-05  2.5163781E-07
   212  1.3653831E-05  2.5409247E-07
   213  1.3909143E-05  2.5652682E-07
   214  1.4166878E-05  2.5894059E-07
   215  1.4427017E-05  2.6133353E-07
   216  1.4689538E-05  2.6370544E-07
   217  1.4954421E-05  2.6605609E-07
   218  1.5221643E-05  2.6838533E-07
   219  1.5491184E-05  2.7069299E-07
   220  1.5763022E-05  2.7297895E-07
   221  1.6037135E-05  2.7524307E-07
   222  1.6313501E-05  2.7748528E-07
   223  1.6592098E-05  2.7970549E-07
   224  1.6872904E-05  2.8190364E-07
   225  1.7155898E-05  2.8407970E-07
   226  1.7441057E-05  2.8623363E-07
   227  1.7728358E-05  2.8836543E-07
   228  1.8017780E-05  2.9047509E-07
   229  1.8309301E-05  2.9256264E-07
   230  1.8602898E-05  2.9462812E-07
   231  1.8898550E-05  2.9667155E-07
   232  1.9196234E-05  2.9869301E-07
   233  1.9495928E-05  3.0069256E-07
   234  1.9797612E-05  3.0267028E-07
   235  2.0101262E-05  3.0462626E-07
   236  2.0406857E-05  3.0656059E-07
   237  2.0714376E-05  3.0847340E-07
   238  2.1023796E-05  3.1036478E-07
   239  2.1335098E-05  3.1223488E-07
   240  2.1648259E-05  3.1408382E-07
   241  2.1963259E-05  3.1591173E-07
   242  2.2280076E-05  3.1771878E-07
   243  2.2598689E-05  3.1950510E-07
   244  2.2919079E-05  3.2127087E-07
   245  2.3241224E-05  3.2301623E-07
   246  2.3565105E-05  3.2474136E-07
   247  2.3890700E-05  3.2644643E-07
   248  2.4217991E-05  3.2813162E-07
   249  2.4546957E-05  3.2979710E-07
   250  2.4877579E-05  3.3144307E-07
   251  2.5209837E-05  3.3306970E-07
   252  2.5543712E-05  3.3467718E-07
   253  2.5879185E-05  3.3626571E-07
   254  2.6216237E-05  3.3783547E-07
   255  2.6554849E-05  3.3938667E-07
   256  2.6895004E-05  3.4091950E-07
   257  2.7236682E-05  3.4243415E-07
   258  2.7579866E-05  3.4393083E-07
   259  2.7924538E-05  3.4540974E-07
   260  2.8270680E-05  3.4687107E-07
   261  2.8618275E-05  3.4831503E-07
   262  2.8967304E-05  3.4974181E-07
   263  2.9317752E-05  3.5115162E-07
   264  2.9669602E-05  3.5254466E-07
   265  3.0022836E-05  3.5392113E-07
   266  3.0377439E-05  3.5528123E-07
   267  3.0733393E-05  3.5662515E-07
   268  3.1090684E-05  3.5795311E-07
   269  3.1449294E-05  3.5926528E-07
   270  3.1809209E-05  3.6056189E-07
   271  3.2170413E-05  3.6184311E-07
   272  3.2532890E-05  3.6310914E-07
   273  3.2896626E-05  3.6436018E-07
   274  3.3261606E-05  3.6559643E-07
   275  3.3627814E-05  3.6681806E-07
   276  3.3995237E-05  3.6802528E-07
   277  3.4363860E-05  3.6921826E-07
   278  3.4733669E-05  3.7039720E-07
   279  3.5104650E-05  3.7156229E-07
   280  3.5476789E-05  3.7271369E-07
   281  3.5850073E-05  3.7385161E-07
   282  3.6224488E-05  3.7497621E-07
   283  3.6600021E-05  3.7608768E-07
   284  3.6976659E-05  3.7718619E-07
   285  3.7354389E-05  3.7827192E-07
   286  3.7733198E-05  3.7934503E-07
   287  3.8113075E-05  3.8040571E-07
   288  3.8494006E-05  3.8145412E-07
   289  3.8875979E-05  3.8249042E-07
   290  3.9258983E-05  3.8351478E-07
   291  3.9643005E-05  3.8452737E-07
   292  4.0028033E-05  3.8552834E-07
   293  4.0414057E-05  3.8651786E-07
   294  4.0801065E-05  3.8749607E-07
   295  4.1189046E-05  3.8846315E-07
   296  4.1577988E-05  3.8941924E-07
   297  4.1967881E-05  3.9036449E-07
   298  4.2358713E-05  3.9129905E-07
   299  4.2750475E-05  3.9222307E-07
   300  4.3143156E-05  3.9313669E-07
   301  4.3536745E-05  3.9404007E-07
   302  4.3931233E-05  3.9493333E-07
   303  4.4326609E-05  3.9581662E-07
   304  4.4722863E-05  3.9669008E-07
   305  4.5119986E-05  3.9755384E-07
   306  4.5517967E-05  3.9840804E-07
   307  4.5916798E-05  3.9925280E-07
   308  4.6316470E-05  4.0008827E-07
   309  4.6716972E-05  4.0091456E-07
   310  4.7118296E-05  4.0173181E-07
   311  4.7520433E-05  4.0254014E-07
   312  4.7923373E-05  4.0333966E-07
   313  4.8327109E-05  4.0413051E-07
   314  4.8731631E-05  4.0491281E-07
   315  4.9136932E-05  4.0568666E-07
   316  4.9543002E-05  4.0645219E-07
   317  4.9949833E-05  4.0720951E-07
   318  5.0357418E-05  4.0795873E-07
   319  5.0765748E-05  4.0869997E-07
   320  5.1174816E-05  4.0943333E-07
   321  5.1584612E-05  4.1015892E-07
   322  5.1995131E-05  4.1087684E-07
   323  5.2406364E-05  4.1158721E-07
   324  5.2818303E-05  4.1229012E-07
   325  5.3230941E-05  4.1298567E-07
   326  5.3644272E-05  4.1367397E-07
   327  5.4058287E-05  4.1435512E-07
   328  5.4472980E-05  4.1502920E-07
   329  5.4888343E-05  4.1569632E-07
   330  5.5304370E-05  4.1635657E-07
   331  5.5721054E-05  4.1701004E-07
   332  5.6138388E-05  4.1765682E-07
   333  5.6556365E-05  4.1829700E-07
   334  5.6974980E-05  4.1893068E-07
   335  5.7394224E-05  4.1955793E-07
   336  5.7814093E-05  4.2017885E-07
   337  5.8234580E-05  4.2079352E-07
   338  5.8655678E-05  4.2140201E-07
   339  5.9077382E-05  4.2200442E-07
   340  5.9499685E-05  4.2260082E-07
   341  5.9922582E-05  4.2319130E-07
   342  6.0346066E-05  4.2377592E-07
   343  6.0770132E-05  4.2435478E-07
   344  6.1194774E-05  4.2492793E-07
   345  6.1619986E-05  4.2549547E-07
   346  6.2045763E-05  4.2605746E-07
   347  6.2472099E-05  4.2661397E-07
   348  6.2898989E-05  4.2716507E-07
   349  6.3326427E-05  4.2771084E-07
   350  6.3754409E-05  4.2825135E-07
   351  6.4182928E-05  4.2878665E-07
   352  6.4611980E-05  4.2931683E-07
   353  6.5041560E-05  4.2984194E-07
   354  6.5471662E-05  4.3036206E-07
   355  6.5902283E-05  4.3087723E-07
   356  6.6333415E-05  4.3138754E-07
   357  6.6765056E-05  4.3189303E-07
   358  6.7197200E-05  4.3239378E-07
   359  6.7629842E-05  4.3288983E-07
   360  6.8062978E-05  4.3338126E-07
   361  6.8496603E-05  4.3386812E-07
   362  6.8930713E-05  4.3435046E-07
   363  6.9365302E-05  4.3482834E-07
   364  6.9800368E-05  4.3530183E-07
   365  7.0235905E-05  4.3577096E-07
   366  7.0671908E-05  4.3623581E-07
   367  7.1108375E-05  4.3669642E-07
   368  7.1545300E-05  4.3715284E-07
   369  7.1982679E-05  4.3760512E-07
   370  7.2420509E-05  4.3805333E-07
   371  7.2858784E-05  4.3849750E-07
   372  7.3297502E-05  4.3893768E-07
   373  7.3736659E-05  4.3937394E-07
   374  7.4176249E-05  4.3980630E-07
   375  7.4616270E-05  4.4023483E-07
   376  7.5056717E-05  4.4065956E-07
   377  7.5497588E-05  4.4108055E-07
   378  7.5938877E-05  4.4149783E-07
   379  7.6380582E-05  4.4191146E-07
   380  7.6822699E-05  4.4232148E-07
   381  7.7265224E-05  4.4272792E-07
   382  7.7708154E-05  4.4313084E-07
   383  7.8151484E-05  4.4353027E-07
   384  7.8595213E-05  4.4392626E-07
   385  7.9039336E-05  4.4431885E-07
   386  7.9483850E-05  4.4470808E-07
   387  7.9928751E-05  4.4509398E-07
